"""ID"";""Population"";""Sex"";""PersonalCharacteristics"";""Margins"";""Periods"";""TrafficParticipation_1"";""UseOfPublicTransport_2"""
"""222"";""A048710"";""T001038"";""2030540"";""MOG0095"";""2020JJ00"";""    76.5"";""       ."""
"""223"";""A048710"";""T001038"";""2030540"";""MOG0095"";""2021JJ00"";""    77.3"";""    12.3"""
"""224"";""A048710"";""T001038"";""2030540"";""MBG0095"";""2018JJ00"";""    97.2"";""    22.8"""
"""225"";""A048710"";""T001038"";""2030540"";""MBG0095"";""2019JJ00"";""    92.6"";""    25.4"""
"""226"";""A048710"";""T001038"";""2030540"";""MBG0095"";""2020JJ00"";""    86.1"";""       ."""
"""227"";""A048710"";""T001038"";""2030540"";""MBG0095"";""2021JJ00"";""    86.6"";""    20.8"""
"""228"";""A048710"";""T001038"";""2030550"";""MW00000"";""2018JJ00"";""    82.6"";""     7.1"""
"""229"";""A048710"";""T001038"";""2030550"";""MW00000"";""2019JJ00"";""    81.7"";""     7.0"""
"""230"";""A048710"";""T001038"";""2030550"";""MW00000"";""2020JJ00"";""    73.8"";""     3.2"""
"""231"";""A048710"";""T001038"";""2030550"";""MW00000"";""2021JJ00"";""    78.0"";""     3.2"""
"""232"";""A048710"";""T001038"";""2030550"";""MOG0095"";""2018JJ00"";""    82.2"";""     6.9"""
"""233"";""A048710"";""T001038"";""2030550"";""MOG0095"";""2019JJ00"";""    81.3"";""     6.8"""
"""234"";""A048710"";""T001038"";""2030550"";""MOG0095"";""2020JJ00"";""    73.4"";""     3.0"""
"""235"";""A048710"";""T001038"";""2030550"";""MOG0095"";""2021JJ00"";""    77.7"";""     3.1"""
"""236"";""A048710"";""T001038"";""2030550"";""MBG0095"";""2018JJ00"";""    83.1"";""     7.4"""
"""237"";""A048710"";""T001038"";""2030550"";""MBG0095"";""2019JJ00"";""    82.1"";""     7.3"""
"""238"";""A048710"";""T001038"";""2030550"";""MBG0095"";""2020JJ00"";""    74.2"";""     3.4"""
"""239"";""A048710"";""T001038"";""2030550"";""MBG0095"";""2021JJ00"";""    78.4"";""     3.4"""
"""240"";""A048710"";""T001038"";""2018700"";""MW00000"";""2018JJ00"";""    73.6"";""     5.9"""
"""241"";""A048710"";""T001038"";""2018700"";""MW00000"";""2019JJ00"";""    72.0"";""     5.5"""
"""242"";""A048710"";""T001038"";""2018700"";""MW00000"";""2020JJ00"";""    63.7"";""     2.9"""
"""243"";""A048710"";""T001038"";""2018700"";""MW00000"";""2021JJ00"";""    70.5"";""     3.2"""
"""244"";""A048710"";""T001038"";""2018700"";""MOG0095"";""2018JJ00"";""    72.6"";""     5.4"""
"""245"";""A048710"";""T001038"";""2018700"";""MOG0095"";""2019JJ00"";""    71.0"";""     5.0"""
"""246"";""A048710"";""T001038"";""2018700"";""MOG0095"";""2020JJ00"";""    62.8"";""     2.6"""
"""247"";""A048710"";""T001038"";""2018700"";""MOG0095"";""2021JJ00"";""    69.6"";""     2.9"""
